issue_type,weight_sum,share,total_weight,ci_low,ci_high,n_issue_rows,n_boot,candidate,source,window_type,weight_metric,filter_mode,grouping,source_scope
administrative_performance,1097.5517518856961,0.13529989070548598,8111.9928934369345,0.031199570130793594,0.2733040569375679,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source
campaign_strategy,725.0756928730282,0.08938317653848733,8111.9928934369345,0.0,0.20939323789807598,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source
candidate_positioning,358.1588830833597,0.04415177475970555,8111.9928934369345,0.007252806102974647,0.08967476483255678,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source
candidate_selection,639.7048165890337,0.07885914410829815,8111.9928934369345,0.012062316817184802,0.1672324103860741,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source
community_reaction,209.12960727694627,0.02578029961615771,8111.9928934369345,0.0,0.07914803208750515,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source
controversy_attack_defense,755.1643397569994,0.09309233251029725,8111.9928934369345,0.028225426608627285,0.18452850572460489,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source
debate_broadcast,152.53972077083992,0.01880422268296774,8111.9928934369345,0.0,0.04610369895480901,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source
legal_election_rule,239.20330291492667,0.029487612484036543,8111.9928934369345,0.0,0.10899194234486292,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source
media_photo_event,34.791759469228055,0.00428892874121926,8111.9928934369345,0.0,0.013493486223360395,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source
policy_real_estate_tax,1049.3175465871805,0.12935385427126522,8111.9928934369345,0.0,0.2953053765151268,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source
policy_transport_infrastructure,1055.1216659061074,0.13006935284173649,8111.9928934369345,0.0,0.29735318691566687,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source
race_polling,498.53972077083995,0.06145712000982977,8111.9928934369345,0.003572647071946299,0.15580856419792977,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source
regional_visit,445.7079475949457,0.05494432175298734,8111.9928934369345,0.0,0.1765550611870934,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source
safety_accident,633.4303252192274,0.07808566076675297,8111.9928934369345,0.0,0.18825043766736752,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source
symbolic_event,218.5558127385758,0.026942308210772713,8111.9928934369345,0.0,0.07659898521220569,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source
administrative_notice,33.0,0.01222412960868394,2699.5787067372894,0.001139172653084766,0.028225062995883884,210,300,JWO,bigkinds_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
administrative_performance,300.5054566736396,0.11131568637864628,2699.5787067372894,0.06557608833400973,0.16619943253407013,210,300,JWO,bigkinds_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
campaign_strategy,133.69314718055995,0.04952370784630372,2699.5787067372894,0.016521230581905477,0.08815199439583234,210,300,JWO,bigkinds_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
candidate_positioning,71.39907485911208,0.02644822863690646,2699.5787067372894,0.011831380908756807,0.04687907295615777,210,300,JWO,bigkinds_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
candidate_selection,160.7921634525068,0.05956194685164049,2699.5787067372894,0.025836817874966857,0.10249152167146003,210,300,JWO,bigkinds_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
controversy_attack_defense,355.56434819146784,0.13171105080362813,2699.5787067372894,0.0770724991780689,0.2039253088959395,210,300,JWO,bigkinds_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
debate_broadcast,67.0,0.024818687387328002,2699.5787067372894,0.0012202437474333778,0.05435757867630459,210,300,JWO,bigkinds_article,calendar_week,doc_count_weighted,balanced,candidate+source+window_type,source
