issue_type,weight_sum_JWO,share_JWO,total_weight_JWO,ci_low_JWO,ci_high_JWO,n_issue_rows_JWO,n_boot_JWO,candidate_JWO,source,window_type,weight_metric,filter_mode,grouping_JWO,source_scope,weight_sum_OSH,share_OSH,total_weight_OSH,ci_low_OSH,ci_high_OSH,n_issue_rows_OSH,n_boot_OSH,candidate_OSH,grouping_OSH,share_diff,share_diff_ci_low_conservative,share_diff_ci_high_conservative,candidate_a,candidate_b
administrative_performance,1097.5517518856961,0.13529989070548598,8111.9928934369345,0.031199570130793594,0.2733040569375679,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source,923.8020861237364,0.08140007179378968,11348.909967352349,0.015361422206559516,0.15162933916839333,48,300,OSH,candidate+source+window_type,0.053899818911696304,-0.12042976903759973,0.25794263473100837,JWO,OSH
campaign_strategy,725.0756928730282,0.08938317653848733,8111.9928934369345,0.0,0.20939323789807598,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source,1111.9134410568658,0.09797535131175866,11348.909967352349,0.017771258674271536,0.19184719352791282,48,300,OSH,candidate+source+window_type,-0.00859217477327133,-0.19184719352791282,0.19162197922380445,JWO,OSH
candidate_selection,639.7048165890337,0.07885914410829815,8111.9928934369345,0.012062316817184802,0.1672324103860741,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source,408.6936013897719,0.03601170531491302,11348.909967352349,0.0,0.09424080986384666,48,300,OSH,candidate+source+window_type,0.04284743879338514,-0.08217849304666186,0.1672324103860741,JWO,OSH
controversy_attack_defense,755.1643397569994,0.09309233251029725,8111.9928934369345,0.028225426608627285,0.18452850572460489,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source,882.114982309587,0.0777268464413927,11348.909967352349,0.0,0.18428228397059823,48,300,OSH,candidate+source+window_type,0.015365486068904546,-0.15605685736197095,0.18452850572460489,JWO,OSH
debate_broadcast,152.53972077083992,0.01880422268296774,8111.9928934369345,0.0,0.04610369895480901,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source,1287.394084330811,0.11343768591294538,11348.909967352349,0.05243363696234497,0.21173672639594146,48,300,OSH,candidate+source+window_type,-0.09463346322997765,-0.21173672639594146,-0.006329938007535965,JWO,OSH
legal_election_rule,239.20330291492667,0.029487612484036543,8111.9928934369345,0.0,0.10899194234486292,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source,649.5147417329995,0.057231464836840926,11348.909967352349,0.010501378575118812,0.13779678121216704,48,300,OSH,candidate+source+window_type,-0.027743852352804382,-0.13779678121216704,0.0984905637697441,JWO,OSH
media_photo_event,34.791759469228055,0.00428892874121926,8111.9928934369345,0.0,0.013493486223360395,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source,572.4035416778206,0.050436873966263375,11348.909967352349,0.0,0.11314393728364237,48,300,OSH,candidate+source+window_type,-0.04614794522504412,-0.11314393728364237,0.013493486223360395,JWO,OSH
policy_real_estate_tax,1049.3175465871805,0.12935385427126522,8111.9928934369345,0.0,0.2953053765151268,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source,661.6694753884977,0.05830246933775459,11348.909967352349,0.01203561539382471,0.13006370417367974,48,300,OSH,candidate+source+window_type,0.07105138493351063,-0.13006370417367974,0.2832697611213021,JWO,OSH
policy_transport_infrastructure,1055.1216659061074,0.13006935284173649,8111.9928934369345,0.0,0.29735318691566687,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source,1988.4926593600865,0.17521441839616542,11348.909967352349,0.05678134654520141,0.31404808592094496,48,300,OSH,candidate+source+window_type,-0.04514506555442893,-0.31404808592094496,0.24057184037046547,JWO,OSH
race_polling,498.53972077083995,0.06145712000982977,8111.9928934369345,0.003572647071946299,0.15580856419792977,50,300,JWO,all_sources_combined,calendar_month_exact,doc_count_weighted,balanced,candidate+source+window_type,source,711.6173380476109,0.0627035847578962,11348.909967352349,0.0,0.13917335256959226,48,300,OSH,candidate+source+window_type,-0.001246464748066424,-0.13560070549764597,0.15580856419792977,JWO,OSH
