candidate,window_type,filter_mode,weight_metric,distribution_unit,group_scope,source,issue_type,observed
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,administrative_notice,5.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,administrative_performance,47.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,campaign_strategy,11.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,candidate_positioning,11.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,candidate_selection,20.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,community_reaction,0.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,controversy_attack_defense,25.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,debate_broadcast,5.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,legal_election_rule,10.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,media_column_summary,0.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,media_photo_event,11.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,policy_real_estate_tax,24.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,policy_transport_infrastructure,10.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,policy_welfare_livelihood,4.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,race_polling,7.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,regional_visit,4.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,safety_accident,5.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,symbolic_event,3.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,administrative_notice,6.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,administrative_performance,54.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,campaign_strategy,12.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,candidate_positioning,11.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,candidate_selection,19.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,community_reaction,1.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,controversy_attack_defense,22.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,debate_broadcast,5.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,legal_election_rule,6.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,media_column_summary,0.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,media_photo_event,6.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,policy_real_estate_tax,20.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,policy_transport_infrastructure,11.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,policy_welfare_livelihood,3.0
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,race_polling,16.0
