candidate,window_type,filter_mode,weight_metric,distribution_unit,group_scope,source,issue_type,observed,expected,std_residual
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,administrative_notice,5.0,3.456273764258555,0.8303596128128995
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,administrative_performance,47.0,49.7319391634981,-0.3873943898877691
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,campaign_strategy,11.0,9.79277566539924,0.38577588680743896
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,candidate_positioning,11.0,9.79277566539924,0.38577588680743896
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,candidate_selection,20.0,19.58555133079848,0.09364893627778725
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,community_reaction,0.0,5.760456273764259,-2.4000950551518283
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,controversy_attack_defense,25.0,23.809885931558934,0.2438989505660104
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,debate_broadcast,5.0,9.408745247148289,-1.4373057058561551
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,legal_election_rule,10.0,5.952471482889734,1.6589804017732772
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,media_column_summary,0.0,1.920152091254753,-1.385695526172598
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,media_photo_event,11.0,4.416349809885932,3.1328169118220557
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,policy_real_estate_tax,24.0,18.24144486692015,1.3482918573437097
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,policy_transport_infrastructure,10.0,9.79277566539924,0.06621979789293024
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,policy_welfare_livelihood,4.0,3.0722433460076046,0.5293053354036896
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,race_polling,7.0,16.70532319391635,-2.3745567927234354
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,regional_visit,4.0,3.456273764258555,0.2924665631336075
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,safety_accident,5.0,4.992395437262357,0.0034034530061441233
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,symbolic_event,3.0,2.112167300380228,0.6108955745383078
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,administrative_notice,6.0,3.5247148288973382,1.3184487331356678
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,administrative_performance,54.0,50.71673003802282,0.46103189437347025
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,campaign_strategy,12.0,9.986692015209126,0.6370879452998315
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,candidate_positioning,11.0,9.986692015209126,0.3206495513171011
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,candidate_selection,19.0,19.973384030418252,-0.217800258397415
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,community_reaction,1.0,5.8745247148288975,-2.01115669505032
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,controversy_attack_defense,22.0,24.281368821292777,-0.4629764697275672
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,debate_broadcast,5.0,9.595057034220533,-1.4834302332523397
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,legal_election_rule,6.0,6.070342205323194,-0.02855021563320005
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,media_column_summary,0.0,1.9581749049429658,-1.3993480285272015
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,media_photo_event,6.0,4.503802281368821,0.7050165790729491
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,policy_real_estate_tax,20.0,18.602661596958175,0.3239769048456251
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,policy_transport_infrastructure,11.0,9.986692015209126,0.3206495513171011
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,policy_welfare_livelihood,3.0,3.1330798479087454,-0.07518419676185842
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,race_polling,16.0,17.0361216730038,-0.251029864426881
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,regional_visit,6.0,3.5247148288973382,1.3184487331356678
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,safety_accident,7.0,5.091254752851711,0.8459321959299455
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_article,symbolic_event,1.0,2.153992395437262,-0.786286581245537
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,administrative_notice,1.0,1.984790874524715,-0.6990152302698676
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,administrative_performance,25.0,28.55893536121673,-0.6659614550250875
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,campaign_strategy,4.0,5.623574144486692,-0.6846457455900646
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,candidate_positioning,8.0,5.623574144486692,1.0021161381587602
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,candidate_selection,8.0,11.247148288973383,-0.968235298834509
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,community_reaction,16.0,3.307984790874525,6.97828707764312
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,controversy_attack_defense,12.0,13.673003802281368,-0.45244413276266227
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,debate_broadcast,5.0,5.403041825095057,-0.17339275699230758
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,legal_election_rule,4.0,3.418250950570342,0.31465432869403354
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,media_column_summary,9.0,1.102661596958175,7.520723521484708
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,media_photo_event,0.0,2.536121673003802,-1.592520540842033
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,policy_real_estate_tax,5.0,10.475285171102662,-1.6917018188974438
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,policy_transport_infrastructure,4.0,5.623574144486692,-0.6846457455900646
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,policy_welfare_livelihood,3.0,1.7642585551330798,0.9303502881073105
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,race_polling,9.0,9.593155893536121,-0.19150851948860168
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,regional_visit,1.0,1.984790874524715,-0.6990152302698676
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,safety_accident,1.0,2.8669201520912546,-1.1025998903224143
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,symbolic_event,1.0,1.2129277566539924,-0.19333692692369872
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,administrative_notice,4.0,3.4904942965779466,0.27271283838618293
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,administrative_performance,52.0,50.22433460076046,0.2505555552422761
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,campaign_strategy,11.0,9.889733840304183,0.3530488499326204
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,candidate_positioning,13.0,9.889733840304183,0.9890204083728892
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,candidate_selection,21.0,19.779467680608366,0.27443657094749
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,community_reaction,0.0,5.817490494296578,-2.4119474484939714
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,controversy_attack_defense,23.0,24.045627376425855,-0.21323519563763293
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,debate_broadcast,6.0,9.50190114068441,-1.1360530915757803
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,legal_election_rule,5.0,6.011406844106464,-0.41251317846989355
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,media_column_summary,0.0,1.9391634980988592,-1.3925385086592252
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,media_photo_event,5.0,4.4600760456273765,0.25565922264851926
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,policy_real_estate_tax,14.0,18.422053231939163,-1.0302792420322202
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,policy_transport_infrastructure,12.0,9.889733840304183,0.6710346291527548
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,policy_welfare_livelihood,5.0,3.102661596958175,1.077153487750869
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,race_polling,25.0,16.870722433460077,1.9791791732859805
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,regional_visit,2.0,3.4904942965779466,-0.7977868108013707
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,safety_accident,4.0,5.0418250950570345,-0.4639817798582645
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_article,symbolic_event,2.0,2.1330798479087454,-0.09111895690816621
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,administrative_notice,1.0,2.429657794676806,-0.9171904869524062
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,administrative_performance,25.0,34.960076045627375,-1.6845211571234902
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,campaign_strategy,5.0,6.88403041825095,-0.7180695653725747
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,candidate_positioning,5.0,6.88403041825095,-0.7180695653725747
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,candidate_selection,15.0,13.7680608365019,0.3320113064147616
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,community_reaction,13.0,4.0494296577946765,4.447887358990127
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,controversy_attack_defense,14.0,16.73764258555133,-0.6691594308107871
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,debate_broadcast,7.0,6.614068441064639,0.15006380406344136
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,legal_election_rule,4.0,4.184410646387833,-0.09015064553978662
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,media_column_summary,1.0,1.349809885931559,-0.30108961515484756
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,media_photo_event,1.0,3.1045627376425857,-1.1944326226289241
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,policy_real_estate_tax,22.0,12.82319391634981,2.5626745134892555
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,policy_transport_infrastructure,10.0,6.88403041825095,1.18760445776554
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,policy_welfare_livelihood,1.0,2.159695817490494,-0.7891286248163721
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,race_polling,12.0,11.743346007604563,0.07489487422017528
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,regional_visit,1.0,2.429657794676806,-0.9171904869524062
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,safety_accident,2.0,3.5095057034220534,-0.8057712766200801
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,naver_blog_cafe,symbolic_event,3.0,1.484790874524715,1.2434832293272735
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,administrative_notice,1.0,3.1140684410646386,-1.1979948923880934
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,administrative_performance,56.0,44.80798479087453,1.6719781034452905
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,campaign_strategy,8.0,8.82319391634981,-0.2771336361972091
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,candidate_positioning,3.0,8.82319391634981,-1.9604164611363772
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,candidate_selection,19.0,17.64638783269962,0.322230273201736
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,community_reaction,0.0,5.190114068441065,-2.2781821850855266
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,controversy_attack_defense,28.0,21.452471482889734,1.4136396959924982
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,debate_broadcast,21.0,8.477186311787072,4.301065488197674
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,legal_election_rule,2.0,5.363117870722434,-1.4522233578459522
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,media_column_summary,0.0,1.7300380228136882,-1.3153090978221387
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,media_photo_event,0.0,3.9790874524714828,-1.9947650118426186
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,policy_real_estate_tax,10.0,16.435361216730037,-1.587388764810182
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,policy_transport_infrastructure,4.0,8.82319391634981,-1.6237598961485435
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,policy_welfare_livelihood,0.0,2.7680608365019013,-1.66374903050367
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,race_polling,18.0,15.051330798479087,0.7600437696023646
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,regional_visit,4.0,3.1140684410646386,0.5020374279252263
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,safety_accident,7.0,4.498098859315589,1.1796567227697832
JWO,calendar_week,balanced,row_count,stable_issue,candidate_window_type,youtube,symbolic_event,1.0,1.903041825095057,-0.6546116028375776
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,administrative_notice,19.0,16.375523187677885,0.6485525151342725
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,administrative_performance,249.0,261.82437636028794,-0.7925582955485729
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,campaign_strategy,62.0,72.12589988280595,-1.1923067613099314
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,candidate_positioning,36.0,35.14297672861209,0.14456838928637844
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,candidate_selection,126.0,119.22852837769965,0.6201446066149905
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,community_reaction,3.0,23.735308890005022,-4.25611217076616
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,controversy_attack_defense,127.0,125.30035158211953,0.15183886528448845
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,debate_broadcast,43.0,51.51849991628997,-1.1868108798273775
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,legal_election_rule,23.0,28.151180311401305,-0.9708641124811322
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,media_column_summary,4.0,4.415871421396283,-0.19790231162107202
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,media_photo_event,86.0,37.71890172442659,7.861358853394027
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,policy_real_estate_tax,97.0,102.11702661978904,-0.5063707321808968
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,policy_transport_infrastructure,69.0,55.5663820525699,1.8021333862814843
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,policy_welfare_livelihood,24.0,14.719571404654278,2.418914128897516
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,race_polling,58.0,82.42959986606395,-2.6907587291735062
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,regional_visit,32.0,25.943244600703164,1.1891260410439222
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,safety_accident,23.0,29.255148166750377,-1.1564755365055386
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,bigkinds_article,symbolic_event,18.0,13.431608906747028,1.2465200179018487
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,administrative_notice,25.0,18.670182487862046,1.4649301186431365
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,administrative_performance,304.0,298.51314247446845,0.3175718178709203
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,campaign_strategy,104.0,82.23271387912271,2.400390914370728
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,candidate_positioning,48.0,40.067470282939894,1.253186610266816
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,candidate_selection,149.0,135.93571069814163,1.1205184400788595
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,community_reaction,5.0,27.061275740833754,-4.240884938558301
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,controversy_attack_defense,111.0,142.8583626318433,-2.665450473141629
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,debate_broadcast,48.0,58.737652770801944,-1.4010417013423337
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,legal_election_rule,38.0,32.09593169261677,1.042140754322085
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,media_column_summary,2.0,5.034655951783024,-1.3524604127529758
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,media_photo_event,58.0,43.00435292147999,2.286699001508618
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,policy_real_estate_tax,101.0,116.42641888498243,-1.4296816736700815
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,policy_transport_infrastructure,58.0,63.35275405993638,-0.6725034860812
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,policy_welfare_livelihood,23.0,16.78218650594341,1.517796054115685
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,race_polling,85.0,93.9802444332831,-0.9263388379039795
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,regional_visit,34.0,29.578603716725265,0.812962676482095
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,safety_accident,35.0,33.35459568056253,0.2849015373801151
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_article,symbolic_event,25.0,15.313745186673364,2.4752278425101313
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,administrative_notice,4.0,7.241587142139628,-1.2045943461871065
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,administrative_performance,84.0,115.78402812656957,-2.9538239607360985
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,campaign_strategy,21.0,31.895529884480162,-1.9292275068972684
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,candidate_positioning,10.0,15.54093420391763,-1.4055439569086805
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,candidate_selection,44.0,52.725263686589656,-1.201625622954335
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,community_reaction,85.0,10.496233048719237,22.99648709920333
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,controversy_attack_defense,73.0,55.41034655951783,2.362989814583853
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,debate_broadcast,15.0,22.78252134605726,-1.6304948357935152
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,legal_election_rule,19.0,12.449020592667,1.856686764736657
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,media_column_summary,13.0,1.9527875439477649,7.905424733614563
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,media_photo_event,1.0,16.68006027122049,-3.8392723389935406
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,policy_real_estate_tax,32.0,45.15821195379206,-1.9580713318810838
JWO,daily,balanced,row_count,stable_issue,candidate_window_type,daum_blog_cafe,policy_transport_infrastructure,24.0,24.572576594676043,-0.11550698358056259
